date,value
2021-03-02 15:51:55.165465,525
2021-03-02 15:52:20.406772,707
2021-03-02 15:54:23.821359,253
2021-03-02 15:56:40.015123,497
2021-03-02 15:57:01.081561,907
2021-03-02 16:02:07.007649,971
2021-03-02 16:07:13.018562,826
2021-03-02 16:12:18.836762,392
2021-03-02 16:17:14.736367,457
2021-03-02 16:17:38.492807,785
2021-03-02 16:17:49.583528,779
2021-03-02 16:18:37.764216,968
2021-03-02 16:19:24.469161,733
2021-03-02 16:20:28.357111,697
2021-03-02 16:25:34.071812,551
2021-03-02 16:30:40.132093,76
2021-03-02 16:35:46.002067,152
2021-03-02 16:40:51.717919,571
2021-03-02 16:46:00.231082,55
2021-03-02 16:51:06.588777,300
2021-03-02 16:56:12.030984,47
2021-03-02 17:01:17.671069,675
2021-03-02 17:06:24.091686,615
2021-03-02 17:11:31.095891,519
2021-03-02 17:16:37.153200,721
2021-03-02 17:21:43.746940,176
2021-03-02 17:26:49.206651,111
